CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,1,3,-,"3,274.70",-15.30,150,"3,266.95","3,329.95",75,"21,050.00","1,69,050",0.70,0.80,"7,275",-0.35,0.80,40.28,"3,36,178","39,784","78,581",
,-,-,-,-,-,-,250,"3,183.65","3,334.60",525,"21,100.00","4,500",0.80,0.95,"1,125",-0.35,0.80,39.68,"1,36,530","19,939","47,867",
,-,-,-,-,-,-,250,"3,134.15","3,284.90",525,"21,150.00","1,650",1.05,1.20,25,-0.25,1.05,40.13,"1,50,182","32,532","46,465",
,48,1,10,-,"3,120.90",35.90,25,"3,126.00","3,171.55",25,"21,200.00","8,975",0.80,0.90,400,-0.40,0.85,38.72,"1,07,451","18,058","40,001",
,36,-,-,-,"3,077.65",-,250,"3,041.60","3,144.25",525,"21,250.00",650,1.05,1.25,300,-0.50,1.05,38.91,"1,16,750","19,227","33,714",
,186,-,8,-,"3,011.35",-19.95,75,"3,025.50","3,078.70",50,"21,300.00","13,450",1.05,1.25,"4,150",-0.40,1.10,38.48,"73,896","13,650","27,647",
,48,-,8,-,"2,955.45",-44.55,75,"2,972.80","3,025.30",75,"21,350.00","7,075",1.15,1.30,600,-0.55,1.15,38.05,"82,831","14,422","27,930",
,77,1,2,-,"2,822.85",-146.25,50,"2,889.15","2,971.05",50,"21,400.00","5,000",1.15,1.45,975,-0.40,1.15,37.44,"74,386","12,981","28,866",
,25,-,-,-,"2,909.00",-,250,"2,833.40","2,979.20",525,"21,450.00","8,625",1.30,1.40,"1,475",-0.45,1.30,37.29,"79,099","13,284","26,311",
,74,-,-,-,"2,807.00",4.55,250,"2,783.60","2,934.45",525,"21,500.00","2,475",1.10,1.15,"1,800",-0.35,1.10,36.05,"1,54,222","7,413","98,967",
,28,-,-,-,"2,731.70",-,250,"2,734.30","2,884.75",525,"21,550.00","1,775",1.30,1.35,"11,400",-0.30,1.35,36.20,"67,067","13,660","20,740",
,3,1,2,-,"2,709.25",-36.75,75,"2,719.95","2,775.55",50,"21,600.00","1,600",1.25,1.30,"2,600",-0.25,1.25,35.30,"54,582","9,277","23,107",
,-,-,-,-,-,-,250,"2,636.65","2,784.65",525,"21,650.00","1,500",1.30,2.40,500,-0.45,1.30,34.83,"49,415","12,290","13,565",
,4,-,-,-,"2,647.00",-,250,"2,587.35","2,734.55",525,"21,700.00","7,250",1.35,1.45,"6,500",-0.30,1.35,34.36,"67,845","12,586","24,105",
,-,-,-,-,-,-,250,"2,535.75","2,684.20",525,"21,750.00",25,1.25,1.60,"1,900",-0.15,1.65,34.48,"48,409","11,862","11,993",
,136,-,2,-,"2,475.90",-38.75,75,"2,523.65","2,593.45",525,"21,800.00","5,900",1.35,1.80,"11,100",-0.30,1.35,33.13,"68,534","12,591","18,250",
,42,-,-,-,"2,490.00",-,525,"2,261.45","2,758.35",525,"21,850.00","1,500",1.25,1.65,800,-0.20,1.65,33.23,"59,413","12,352","14,750",
,194,-,-,-,"2,440.00",-,250,"2,385.20","2,530.55",525,"21,900.00",25,1.30,1.50,"5,675",-0.25,1.50,32.26,"85,791","12,916","20,053",
,25,-,-,-,"2,350.00",-,250,"2,336.20","2,481.90",525,"21,950.00",875,1.50,1.60,"3,450",-0.25,1.50,31.87,"54,617","12,968","13,233",
,574,11,25,-,"2,355.50",54.10,25,"2,324.10","2,351.30",50,"22,000.00","29,650",1.25,1.30,600,-0.40,1.25,30.42,"2,33,129",-512,"57,094",
,2,-,-,-,"1,484.95",-,525,"2,094.40","2,463.55",525,"22,050.00","1,425",1.20,1.55,700,-0.50,1.20,29.68,"2,871",144,371,
,5,-,-,-,"2,245.00",-,250,"2,196.40","2,330.20",525,"22,100.00","12,350",0.90,1.50,100,-0.15,1.50,29.79,"51,234",-335,"4,990",
,5,-,-,-,"2,171.55",-,525,"1,988.00","2,403.75",525,"22,150.00","1,325",1.05,1.50,25,-0.60,1.10,28.21,"3,699",291,411,
,44,1,9,-,"2,124.65",23.20,50,"2,090.10","2,175.35",50,"22,200.00","7,625",1.35,1.50,"1,375",-0.40,1.35,28.22,"77,959","4,280","12,477",
,5,2,8,-,"2,075.15",-16.85,75,"2,078.55","2,125.20",100,"22,250.00","4,050",1.55,1.75,"1,100",-0.50,1.25,27.38,"14,731","1,501","2,776",
,29,-,1,-,"2,020.00",-,50,"2,014.25","2,071.95",75,"22,300.00","1,800",1.25,1.40,75,-0.55,1.20,26.65,"63,540","3,175","10,152",
,2,-,-,-,"1,990.35",-,525,"1,801.35","2,193.80",525,"22,350.00",725,1.20,1.80,"1,800",-0.55,1.20,26.05,"19,083",767,"1,358",
,31,12,13,-,"1,899.00",-1.00,400,"1,919.05","1,971.50",75,"22,400.00","1,150",1.10,1.70,25,-0.85,1.05,25.08,"81,882",280,"15,048",
,72,25,25,-,"1,764.45",-140.55,250,"1,839.55","1,921.80",50,"22,450.00",25,1.25,1.70,200,-0.85,1.25,24.95,"15,161",983,"2,520",
,"2,550",-9,244,-,"1,836.55",25.25,75,"1,841.65","1,851.95",100,"22,500.00","1,800",1.30,1.45,"1,600",-0.60,1.25,24.34,"2,20,266","16,323","70,028",
,51,3,8,-,"1,718.10",-76.90,250,"1,737.95","1,853.15",525,"22,550.00","1,700",1.40,1.65,100,-0.60,1.40,24.04,"22,880","1,126","1,813",
,69,-2,11,-,"1,741.00",56.00,75,"1,741.10","1,762.50",25,"22,600.00",100,1.40,1.75,575,-0.70,1.40,23.42,"97,833","2,499","16,297",
,24,-,-,-,"1,700.00",-,525,"1,520.25","1,861.85",525,"22,650.00",375,1.45,2.05,"1,800",-0.45,1.45,22.90,"39,643","1,445","2,571",
,333,-1,17,-,"1,656.45",46.10,50,"1,614.25","1,674.30",50,"22,700.00",750,1.30,1.70,"3,375",-0.30,1.70,22.71,"1,16,687","-2,595","13,467",
,114,72,74,-,"1,518.15",-31.85,50,"1,577.95","1,623.80",75,"22,750.00",725,1.35,1.80,150,-0.75,1.35,21.49,"41,739","3,800","4,777",
